Symbol,Company_Name,Industry
APTUS.NS,Aptus Value Housing Finance India Limited,Housing Finance Company
LTTS.NS,L&T Technology Services Limited,IT Enabled Services
GILLETTE.NS,Gillette India Limited,Personal Care
ZENSARTECH.NS,Zensar Technologies Limited,Computers - Software & Consulting
HONASA.NS,Honasa Consumer Limited,Personal Care
IFCI.NS,IFCI Limited,Financial Institution
CARBORUNIV.NS,Carborundum Universal Limited,Abrasives & Bearings
NMDC.NS,NMDC Limited,Industrial Minerals
OIL.NS,Oil India Limited,Oil Exploration & Production
IEX.NS,Indian Energy Exchange Limited,Exchange and Data Platform
MANYAVAR.NS,Vedant Fashions Limited,Speciality Retail
ASAHIINDIA.NS,Asahi India Glass Limited,Auto Components & Equipments
AIIL.NS,Authum Investment & Infrastructure Limited,Non Banking Financial Company (NBFC)
SONATSOFTW.NS,Sonata Software Limited,Computers - Software & Consulting
RVNL.NS,Rail Vikas Nigam Limited,Civil Construction
MINDACORP.NS,Minda Corporation Limited,Auto Components & Equipments
MCX.NS,Multi Commodity Exchange of India Limited,Exchange and Data Platform
KFINTECH.NS,Kfin Technologies Limited,Depositories Clearing Houses and Other Intermediaries
ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Limited,Auto Components & Equipments
NHPC.NS,NHPC Limited,Power Generation
CCL.NS,CCL Products (India) Limited,Tea & Coffee
EXIDEIND.NS,Exide Industries Limited,Auto Components & Equipments
RHIM.NS,RHI MAGNESITA INDIA LIMITED,Electrodes & Refractories
JBMA.NS,JBM Auto Limited,Auto Components & Equipments
GICRE.NS,General Insurance Corporation of India,General Insurance
POLYCAB.NS,Polycab India Limited,Cables - Electricals
IREDA.NS,Indian Renewable Energy Development Agency Limited,Financial Institution
TORNTPOWER.NS,Torrent Power Limited,Integrated Power Utilities
ASTRAZEN.NS,AstraZeneca Pharma India Limited,Pharmaceuticals
ENDURANCE.NS,Endurance Technologies Limited,Auto Components & Equipments
JINDALSAW.NS,Jindal Saw Limited,Iron & Steel Products
CAMS.NS,Computer Age Management Services Limited,Depositories Clearing Houses and Other Intermediaries
ASTERDM.NS,Aster DM Healthcare Limited,Hospital
DABUR.NS,Dabur India Limited,Personal Care
RRKABEL.NS,R R Kabel Limited,Cables - Electricals
ATUL.NS,Atul Limited,Specialty Chemicals
JMFINANCIL.NS,JM Financial Limited,Holding Company
NSLNISP.NS,NMDC Steel Limited,Iron & Steel
GODFRYPHLP.NS,Godfrey Phillips India Limited,Cigarettes & Tobacco Products
IRCON.NS,Ircon International Limited,Civil Construction
BHARATFORG.NS,Bharat Forge Limited,Auto Components & Equipments
BLUEDART.NS,Blue Dart Express Limited,Logistics Solution Provider
AEGISLOG.NS,Aegis Logistics Limited,Trading - Gas
NCC.NS,NCC Limited,Civil Construction
NLCINDIA.NS,NLC India Limited,Power Generation
WAAREEENER.NS,Waaree Energies Limited,Other Electrical Equipment
SUNDRMFAST.NS,Sundram Fasteners Limited,Auto Components & Equipments
GODREJPROP.NS,Godrej Properties Limited,Residential Commercial Projects
CGCL.NS,Capri Global Capital Limited,Non Banking Financial Company (NBFC)
CDSL.NS,Central Depository Services (India) Limited,Depositories Clearing Houses and Other Intermediaries
GRAPHITE.NS,Graphite India Limited,Electrodes & Refractories
GLENMARK.NS,Glenmark Pharmaceuticals Limited,Pharmaceuticals
INDIACEM.NS,The India Cements Limited,Cement & Cement Products
MFSL.NS,Max Financial Services Limited,Life Insurance
TITAGARH.NS,TITAGARH RAIL SYSTEMS LIMITED,Railway Wagons
CERA.NS,Cera Sanitaryware Limited,Sanitary Ware
BALRAMCHIN.NS,Balrampur Chini Mills Limited,Sugar
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,Specialty Chemicals
DELHIVERY.NS,Delhivery Limited,Logistics Solution Provider
MANAPPURAM.NS,Manappuram Finance Limited,Non Banking Financial Company (NBFC)
IKS.NS,Inventurus Knowledge Solutions Limited,IT Enabled Services
AFCONS.NS,Afcons Infrastructure Limited,Civil Construction
JUBLPHARMA.NS,Jubilant Pharmova Limited,Pharmaceuticals
MAHABANK.NS,Bank of Maharashtra,Public Sector Bank
DEEPAKFERT.NS,Deepak Fertilizers and Petrochemicals Corporation Limited,Commodity Chemicals
WELCORP.NS,Welspun Corp Limited,Iron & Steel Products
NIVABUPA.NS,Niva Bupa Health Insurance Company Limited,General Insurance
NEWGEN.NS,Newgen Software Technologies Limited,Computers - Software & Consulting
RADICO.NS,Radico Khaitan Limited,Breweries & Distilleries
SCHAEFFLER.NS,Schaeffler India Limited,Auto Components & Equipments
INDIAMART.NS,Indiamart Intermesh Limited,Internet & Catalogue Retail
SCHNEIDER.NS,Schneider Electric Infrastructure Limited,Heavy Electrical Equipment
SOBHA.NS,Sobha Limited,Residential Commercial Projects
POLICYBZR.NS,PB Fintech Limited,Financial Technology (Fintech)
NIACL.NS,The New India Assurance Company Limited,General Insurance
PNBHOUSING.NS,PNB Housing Finance Limited,Housing Finance Company
KPITTECH.NS,KPIT Technologies Limited,Computers - Software & Consulting
DEVYANI.NS,Devyani International Limited,Restaurants
TARIL.NS,Transformers And Rectifiers (India) Limited,Heavy Electrical Equipment
CHOICEIN.NS,Choice International Limited,Holding Company
BSOFT.NS,BIRLASOFT LIMITED,Computers - Software & Consulting
